"","files","names","conditions","replicate","type","DOD","DOB","Time","Age","Sex","ID","OrigSampleID"
"1","RT0h_R1","RT0h_R1","RT0h","R1","Ribo-Tag",2020-09-25,2020-03-10,00:00:00,6.5,"M","16 ",1
"2","RT0h_R2","RT0h_R2","RT0h","R2","Ribo-Tag",2020-09-25,2020-04-05,00:00:00,5.7,"F","26 ",2
"3","RT0h_R3","RT0h_R3","RT0h","R3","Ribo-Tag",2020-09-25,2020-04-05,00:00:00,5.7,"F","27 ",3
"4","RT16h_R1","RT16h_R1","RT16h","R1","Ribo-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"M","22 ",13
"5","RT16h_R2","RT16h_R2","RT16h","R2","Ribo-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"M","23 ",14
"6","RT16h_R3","RT16h_R3","RT16h","R3","Ribo-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"F","28 ",15
"7","RT3h_R1","RT3h_R1","RT3h","R1","Ribo-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"F","13 ",4
"8","RT3h_R2","RT3h_R2","RT3h","R2","Ribo-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"F","14 ",5
"9","RT3h_R3","RT3h_R3","RT3h","R3","Ribo-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"M","18 ",6
"10","RT5h_R1","RT5h_R1","RT5h","R1","Ribo-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"F","21 ",7
"11","RT5h_R2","RT5h_R2","RT5h","R2","Ribo-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"M","24 ",8
"12","RT5h_R3","RT5h_R3","RT5h","R3","Ribo-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"M","25 ",9
"13","RT8h_R1","RT8h_R1","RT8h","R1","Ribo-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","29",10
"14","RT8h_R2","RT8h_R2","RT8h","R2","Ribo-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","30",11
"15","RT8h_R3","RT8h_R3","RT8h","R3","Ribo-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","31",12
"16","RTA0h_R1","RTA0h_R1","RTA0h","R1","RTS-seq",2020-09-25,2020-03-10,00:00:00,6.5,"M","16 ",1
"17","RTA0h_R2","RTA0h_R2","RTA0h","R2","RTS-seq",2020-09-25,2020-04-05,00:00:00,5.7,"F","26 ",2
"18","RTA0h_R3","RTA0h_R3","RTA0h","R3","RTS-seq",2020-09-25,2020-04-05,00:00:00,5.7,"F","27 ",3
"19","RTA16h_R1","RTA16h_R1","RTA16h","R1","RTS-seq",2020-09-30,2020-04-05,08:15:00,5.9,"M","22 ",13
"20","RTA16h_R2","RTA16h_R2","RTA16h","R2","RTS-seq",2020-09-30,2020-04-05,08:15:00,5.9,"M","23 ",14
"21","RTA16h_R3","RTA16h_R3","RTA16h","R3","RTS-seq",2020-09-30,2020-04-05,08:15:00,5.9,"F","28 ",15
"22","RTA3h_R1","RTA3h_R1","RTA3h","R1","RTS-seq",2020-09-25,2020-03-10,15:45:00,6.5,"F","13 ",4
"23","RTA3h_R2","RTA3h_R2","RTA3h","R2","RTS-seq",2020-09-25,2020-03-10,15:45:00,6.5,"F","14 ",5
"24","RTA3h_R3","RTA3h_R3","RTA3h","R3","RTS-seq",2020-09-25,2020-03-10,15:45:00,6.5,"M","18 ",6
"25","RTA5h_R1","RTA5h_R1","RTA5h","R1","RTS-seq",2020-09-25,2020-04-05,15:50:00,5.7,"F","21 ",7
"26","RTA5h_R2","RTA5h_R2","RTA5h","R2","RTS-seq",2020-09-25,2020-04-05,15:50:00,5.7,"M","24 ",8
"27","RTA5h_R3","RTA5h_R3","RTA5h","R3","RTS-seq",2020-09-25,2020-04-05,15:50:00,5.7,"M","25 ",9
"28","RTA8h_R1","RTA8h_R1","RTA8h","R1","RTS-seq",2020-09-25,2020-04-05,15:55:00,5.7,"M","29",10
"29","RTA8h_R2","RTA8h_R2","RTA8h","R2","RTS-seq",2020-09-25,2020-04-05,15:55:00,5.7,"M","30",11
"30","RTA8h_R3","RTA8h_R3","RTA8h","R3","RTS-seq",2020-09-25,2020-04-05,15:55:00,5.7,"M","31",12
"31","SD_R1","SD_R1","SD","R1","RTS-seq",NA,NA,NA,NA,NA,NA,NA
"32","SD_R2","SD_R2","SD","R2","RTS-seq",NA,NA,NA,NA,NA,NA,NA
"33","SD_R3","SD_R3","SD","R3","RTS-seq",NA,NA,NA,NA,NA,NA,NA
"34","SD_TOTAL_R1","SD_TOTAL_R1","SD_TOTAL","R1","TU-Tag",NA,NA,NA,NA,NA,NA,NA
"35","SD_TOTAL_R2","SD_TOTAL_R2","SD_TOTAL","R2","TU-Tag",NA,NA,NA,NA,NA,NA,NA
"36","SD_TOTAL_R3","SD_TOTAL_R3","SD_TOTAL","R3","TU-Tag",NA,NA,NA,NA,NA,NA,NA
"37","TRA0h_R1","TRA0h_R1","TRA0h","R1","TU-Tag",2020-09-25,2020-03-10,00:00:00,6.5,"M","16 ",1
"38","TRA0h_R2","TRA0h_R2","TRA0h","R2","TU-Tag",2020-09-25,2020-04-05,00:00:00,5.7,"F","26 ",2
"39","TRA0h_R3","TRA0h_R3","TRA0h","R3","TU-Tag",2020-09-25,2020-04-05,00:00:00,5.7,"F","27 ",3
"40","TRA16h_R1","TRA16h_R1","TRA16h","R1","TU-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"M","22 ",13
"41","TRA16h_R2","TRA16h_R2","TRA16h","R2","TU-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"M","23 ",14
"42","TRA16h_R3","TRA16h_R3","TRA16h","R3","TU-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"F","28 ",15
"43","TRA3h_R1","TRA3h_R1","TRA3h","R1","TU-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"F","13 ",4
"44","TRA3h_R2","TRA3h_R2","TRA3h","R2","TU-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"F","14 ",5
"45","TRA3h_R3","TRA3h_R3","TRA3h","R3","TU-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"M","18 ",6
"46","TRA5h_R1","TRA5h_R1","TRA5h","R1","TU-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"F","21 ",7
"47","TRA5h_R2","TRA5h_R2","TRA5h","R2","TU-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"M","24 ",8
"48","TRA5h_R3","TRA5h_R3","TRA5h","R3","TU-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"M","25 ",9
"49","TRA8h_R1","TRA8h_R1","TRA8h","R1","TU-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","29",10
"50","TRA8h_R2","TRA8h_R2","TRA8h","R2","TU-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","30",11
"51","TRA8h_R3","TRA8h_R3","TRA8h","R3","TU-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","31",12
"52","UC_R1","UC_R1","UC","R1","RTS-seq",NA,NA,NA,NA,NA,NA,NA
"53","UC_R2","UC_R2","UC","R2","RTS-seq",NA,NA,NA,NA,NA,NA,NA
"54","UC_R3","UC_R3","UC","R3","RTS-seq",NA,NA,NA,NA,NA,NA,NA
"55","UC_TOTAL_R1","UC_TOTAL_R1","UC_TOTAL","R1","TU-Tag",NA,NA,NA,NA,NA,NA,NA
"56","UC_TOTAL_R2","UC_TOTAL_R2","UC_TOTAL","R2","TU-Tag",NA,NA,NA,NA,NA,NA,NA
"57","UC_TOTAL_R3","UC_TOTAL_R3","UC_TOTAL","R3","TU-Tag",NA,NA,NA,NA,NA,NA,NA
